"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"04.01.2015 21:15 - 04.01.2015 21:30","7177","6821"
"04.01.2015 21:30 - 04.01.2015 21:45","7149","6755"
"04.01.2015 21:45 - 04.01.2015 22:00","7231","6511"
"04.01.2015 22:00 - 04.01.2015 22:15","7275","6645"
"04.01.2015 22:15 - 04.01.2015 22:30","7198","6644"
"04.01.2015 22:30 - 04.01.2015 22:45","7067","6603"
"04.01.2015 22:45 - 04.01.2015 23:00","6868","6269"
"04.01.2015 23:00 - 04.01.2015 23:15","6670","6386"
"04.01.2015 23:15 - 04.01.2015 23:30","6852","6192"
"04.01.2015 23:30 - 04.01.2015 23:45","6944","6279"
"04.01.2015 23:45 - 05.01.2015 00:00","6779","6009"
"05.01.2015 00:00 - 05.01.2015 00:15","6031","5851"
"05.01.2015 00:15 - 05.01.2015 00:30","5947","5730"
"05.01.2015 00:30 - 05.01.2015 00:45","5894","5717"
"05.01.2015 00:45 - 05.01.2015 01:00","5836","5802"
"05.01.2015 01:00 - 05.01.2015 01:15","5792","5720"
"05.01.2015 01:15 - 05.01.2015 01:30","5729","5474"
"05.01.2015 01:30 - 05.01.2015 01:45","5687","5479"
"05.01.2015 01:45 - 05.01.2015 02:00","5946","5525"
"05.01.2015 02:00 - 05.01.2015 02:15","5668","5369"
"05.01.2015 02:15 - 05.01.2015 02:30","5689","5163"
"05.01.2015 02:30 - 05.01.2015 02:45","5685","5196"
"05.01.2015 02:45 - 05.01.2015 03:00","5735","5246"
"05.01.2015 03:00 - 05.01.2015 03:15","5826","5437"
"05.01.2015 03:15 - 05.01.2015 03:30","5867","5330"
"05.01.2015 03:30 - 05.01.2015 03:45","5904","5452"
"05.01.2015 03:45 - 05.01.2015 04:00","5968","5359"
"05.01.2015 04:00 - 05.01.2015 04:15","6105","5325"
"05.01.2015 04:15 - 05.01.2015 04:30","6204","5549"
"05.01.2015 04:30 - 05.01.2015 04:45","6289","5494"
"05.01.2015 04:45 - 05.01.2015 05:00","6432","5459"
"05.01.2015 05:00 - 05.01.2015 05:15","6189","5881"
"05.01.2015 05:15 - 05.01.2015 05:30","6749","6134"
"05.01.2015 05:30 - 05.01.2015 05:45","6983","6543"
"05.01.2015 05:45 - 05.01.2015 06:00","7131","6679"
"05.01.2015 06:00 - 05.01.2015 06:15","7417","7166"
"05.01.2015 06:15 - 05.01.2015 06:30","7791","7656"
"05.01.2015 06:30 - 05.01.2015 06:45","8105","8117"
"05.01.2015 06:45 - 05.01.2015 07:00","8361","8739"
"05.01.2015 07:00 - 05.01.2015 07:15","8677","8946"
"05.01.2015 07:15 - 05.01.2015 07:30","8907","9116"
"05.01.2015 07:30 - 05.01.2015 07:45","9094","9338"
"05.01.2015 07:45 - 05.01.2015 08:00","9193","9600"
"05.01.2015 08:00 - 05.01.2015 08:15","9275","10007"
"05.01.2015 08:15 - 05.01.2015 08:30","9354","9877"
"05.01.2015 08:30 - 05.01.2015 08:45","9360","9870"
"05.01.2015 08:45 - 05.01.2015 09:00","9418","9922"
"05.01.2015 09:00 - 05.01.2015 09:15","9489","10226"
"05.01.2015 09:15 - 05.01.2015 09:30","9533","10155"
